event_id,event_date,event_year,event_month,event_day_of_year,country_name,country_code,admin_division_name,state_normalized,is_ner,latitude,longitude,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_title,location_description
5277,2013-08-05 05:30:00,2013,8,217,India,IN,Kerala,Kerala,False,10.0539,76.8294,mudslide,monsoon,small,unknown,0.0,,"Cheeyapara Near Neriyamangalam, Kerala","Cheeyapara Near Neriyamangalam, Kerala"
5280,2013-08-05 08:00:00,2013,8,217,India,IN,Kerala,Kerala,False,9.879,76.9683,landslide,monsoon,medium,unknown,2.0,2.0,"Thadiyambadu Near Painavu, Kerala","Thadiyambadu Near Painavu, Kerala"
5278,2013-08-05 09:30:00,2013,8,217,India,IN,Kerala,Kerala,False,10.0539,76.8298,mudslide,monsoon,medium,unknown,5.0,,"Cheeyappara Waterfalls, Ernakulam, Kerala","Cheeyappara Waterfalls, Ernakulam, Kerala"
5287,2013-08-06 07:00:00,2013,8,218,India,IN,Kashmir,Jammu and Kashmir,False,32.8363,75.1489,landslide,downpour,medium,unknown,0.0,,Tunnel Number 16 On The Jammu-Udhampur Section,Tunnel Number 16 On The Jammu-Udhampur Section
5294,2013-08-07 00:00:00,2013,8,219,India,IN,Kerala,Kerala,False,10.3031,76.7604,landslide,monsoon,medium,unknown,,,Ambalappara In Thrissur,Ambalappara In Thrissur
5293,2013-08-07 00:00:00,2013,8,219,India,IN,Kashmir,Jammu and Kashmir,False,32.9913,75.1915,landslide,unknown,small,unknown,,,"Samroli, Udhampur District, Kashmir","Samroli, Udhampur District, Kashmir"
5290,2013-08-07 03:30:00,2013,8,219,India,IN,Himachal Pradesh,Himachal Pradesh,False,32.2322,76.3037,landslide,downpour,medium,unknown,0.0,,"Tirah Lines Which Is Almost 5 Kms From Dharamshala, Himachal Pradesh","Tirah Lines Which Is Almost 5 Kms From Dharamshala, Himachal Pradesh"
5291,2013-08-07 08:00:00,2013,8,219,India,IN,Kerala,Kerala,False,10.0606,76.6331,landslide,monsoon,medium,unknown,0.0,,Kozhipilly In Velliyamattom Village Under Thodupuzha Taluk,Kozhipilly In Velliyamattom Village Under Thodupuzha Taluk
5292,2013-08-07 18:00:00,2013,8,219,India,IN,Kerala,Kerala,False,9.835,76.8661,landslide,monsoon,medium,unknown,0.0,,"Naliyani, Near Thodupuzha Town","Naliyani, Near Thodupuzha Town"
5300,2013-08-09 00:00:00,2013,8,221,India,IN,Nāgāland,Nagaland,True,25.318,94.0441,landslide,downpour,large,unknown,,,"Senapati, Manipur","Senapati, Manipur"
