event_id,event_date,event_year,event_month,event_day_of_year,country_name,country_code,admin_division_name,state_normalized,is_ner,latitude,longitude,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_title,location_description
1108,2009-08-20 00:00:00,2009,8,232,India,IN,Assam,Assam,True,24.9925,93.5,landslide,downpour,medium,unknown,0.0,,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road","Tamei, Tamenglong district on Imphal-Tamenglong (IT) road"
1109,2009-08-20 00:00:00,2009,8,232,India,IN,Assam,Assam,True,25.5215,93.1645,landslide,downpour,medium,unknown,0.0,,Lumding-Badarpur section in North Cachar Hills district,Lumding-Badarpur section in North Cachar Hills district
1112,2009-08-20 00:00:00,2009,8,232,India,IN,Sikkim,Sikkim,True,27.1761,88.5287,mudslide,downpour,medium,unknown,0.0,,"NH31A, Mile 27 near Rambi","NH31A, Mile 27 near Rambi"
1125,2009-08-26 00:00:00,2009,8,238,India,IN,Sikkim,Sikkim,True,27.3746,88.7648,landslide,rain,medium,unknown,,,"17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim ","17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim "
1127,2009-08-27 00:00:00,2009,8,239,India,IN,Assam,Assam,True,25.1718,93.123,landslide,downpour,medium,unknown,,,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located)
1129,2009-08-30 00:00:00,2009,8,242,India,IN,Manipur,Manipur,True,24.8628,94.4182,landslide,downpour,medium,unknown,,,"Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur","Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur"
1168,2009-09-17 00:00:00,2009,9,260,India,IN,Sikkim,Sikkim,True,27.1954,88.6115,landslide,rain,medium,unknown,,,"4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim.","4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim."
1222,2009-10-05 00:00:00,2009,10,278,India,IN,Mizoram,Mizoram,True,23.73478778,92.72124394,landslide,downpour,medium,urban,3.0,,"Chhinga Veng, Aizawl","Chhinga Veng, Aizawl"
1596,2010-03-27 20:00:00,2010,3,86,India,IN,Manipur,Manipur,True,24.7339,93.9161,mudslide,downpour,medium,unknown,0.0,,"LangthAbal Khoupum, Imphal, Manipur","LangthAbal Khoupum, Imphal, Manipur"
1611,2010-04-01 00:00:00,2010,4,91,India,IN,Assam,Assam,True,25.1553,93.028,landslide,downpour,medium,unknown,3.0,,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam","Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam"
